date,average_gas_per_transaction
2020-05-09,2543969798117.9116
2020-05-08,1664548036048.2957
2020-05-07,181536301101.32935
2020-05-06,351326548788.3111
2020-05-05,363774485294.11676
2020-05-04,897563865415.6007
2020-05-03,245295831882.0386
2020-05-02,335530889759.3735
2020-05-01,1008184085630.6158
2020-04-30,483538690824.0785
2020-04-29,858899059936.911
2020-04-28,1540667991050.2424
2020-04-27,213060759493.67087
2020-04-26,300556313301.82446
2020-04-25,502135335958.33826
2020-04-24,789360020754.0643
2020-04-23,965080244016.8938
2020-04-22,289949990320.7065
2020-04-21,280216994429.15686
2020-04-20,227153562323.89673
2020-04-19,259069007841.80133
2020-04-18,292967724077.87646
2020-04-17,1078237907842.0151
2020-04-16,285714236635.9756
2020-04-15,269500659739.4026
2020-04-14,198224559324.54453
2020-04-13,201826489472.8977
2020-04-12,212235225156.88528
2020-04-11,187608822429.90503
2020-04-10,369201002018.9932
2020-04-09,275634124870.54364
2020-04-08,1852118809844.67
2020-04-07,46199746264.449005
2020-04-06,45804520334.41955
2020-04-05,576858399605.8834
2020-04-04,397175540967.6643
2020-04-03,261047996918.33514
2020-04-02,259514621623.63242
2020-04-01,274690982237.74103
2020-03-31,307092281223.1174
2020-03-30,208382899361.59766
2020-03-29,228944529928.03546
2020-03-28,259037915046.36557
2020-03-27,205347324322.18808
2020-03-26,257341028194.9127
2020-03-25,182952287684.1116
2020-03-24,264812577445.93964
2020-03-23,182237918766.6766
2020-03-22,1242406627761.567
2020-03-21,202622863877.43173
2020-03-20,166449901213.66144
2020-03-19,1585411832207.0652
2020-03-18,13750186316.887762
2020-03-17,10340864901.106272
2020-03-16,88328354398.05946
2020-03-15,378306593555.375
2020-03-14,748062880475.1301
2020-03-13,431596702934.3883
2020-03-12,248634739327.4206
2020-03-11,301388467793.2564
2020-03-10,300654980729.319
2020-03-09,207188417266.187
2020-03-08,330425029515.93805
2020-03-07,308824205593.7916
2020-03-06,481919197345.55255
2020-03-05,223143904811.79358
2020-03-04,226627440948.23837
2020-03-03,250367207698.93658
2020-03-02,239825842696.62912
2020-03-01,191525478376.6733
