date,total_volume
2020-11-22,142178345785650771036.000000000
2020-11-21,229367230430169530670.000000000
2020-11-20,123186973641122105584.000000000
2020-11-19,249385898516405192849.000000000
2020-11-18,195957365297128132720.000000000
2020-11-17,275932463225546100178.000000000
2020-11-16,254469643418570154198.000000000
2020-11-15,127297550167831142553.000000000
2020-11-14,213577334989658539358.000000000
2020-11-13,147706467189465060762.000000000
2020-11-12,123074358627133910030.000000000
2020-11-11,181394560503570205986.000000000
2020-11-10,171770646734041316186.000000000
2020-11-09,125556153789708499604.000000000
2020-11-08,102420209301743321582.000000000
2020-11-07,245628101993579645797.000000000
2020-11-06,178548162045657611945.000000000
2020-11-05,229807117898336915972.000000000
2020-11-04,255119535416469795057.000000000
2020-11-03,327675970100498633854.000000000
2020-11-02,987134926227057947218.000000000
2020-11-01,170659021637665939981.000000000
2020-10-31,251744224913156902286.000000000
2020-10-30,2716742318627691543990.000000000
2020-10-29,265294832324687408058.000000000
2020-10-28,311868086102698056489.000000000
2020-10-27,191042000471256402032.000000000
2020-10-26,192678489603304693882.000000000
2020-10-25,179159250294262073153.000000000
2020-10-24,143342805062821089245.000000000
2020-10-23,212912647157605700648.000000000
2020-10-22,453107070766227586116.000000000
2020-10-21,295249423961634604994.000000000
2020-10-20,207450490003820537526.000000000
2020-10-19,715862996570714666484.000000000
2020-10-18,287575402000054724166.000000000
2020-10-17,301937405856077807810.000000000
2020-10-16,715492120192577113331.000000000
2020-10-15,1992536311692835141569.000000000
2020-10-14,1887938480334877461569.000000000
2020-10-13,250895235253019290907.000000000
2020-10-12,204807169912688830515.000000000
2020-10-11,63363438730002934124.000000000
2020-10-10,63115911709639767924.000000000
2020-10-09,24404809464782248916.000000000
2020-10-08,76211509203340191304.000000000
2020-10-07,245298929758217089310.000000000
2020-10-06,272585787747894418649.000000000
2020-10-05,419509822587670546477.000000000
2020-10-04,209744180540970812213.000000000
2020-10-03,223816710842902283591.000000000
2020-10-02,301899697625764002236.000000000
2020-10-01,210414464975439165444.000000000
2020-09-30,263131825580411521895.000000000
2020-09-29,191183943657893499049.000000000
2020-09-28,122085144075469844626.000000000
2020-09-27,95952632259719246936.000000000
2020-09-26,1125514762490769580794.000000000
2020-09-25,133131407196037626536.000000000
2020-09-24,161835624721406501353.000000000
2020-09-23,181314229287354753792.000000000
2020-09-22,131882072973316714270.000000000
2020-09-21,219375974552589905930.000000000
2020-09-20,84922091425450374941.000000000
2020-09-19,89231118893020878508.000000000
2020-09-18,134412315680493252947.000000000
2020-09-17,116117403395073807175.000000000
2020-09-16,143849704757414563532.000000000
2020-09-15,82825994934132060494.000000000
2020-09-14,96038192188297418883.000000000
2020-09-13,70029592727574597004.000000000
2020-09-12,78480762913878061327.000000000
2020-09-11,117941423240501819829.000000000
2020-09-10,132221073821342343736.000000000
