date,volume
2022-01-09,197024052.481905715
2022-01-08,207668992.273106668
2022-01-07,440553738.228612427
2022-01-06,309765943.647950469
2022-01-05,421762973.822893258
2022-01-04,290559666.388409209
2022-01-03,212472273.091989408
2022-01-02,240037959.455134748
2022-01-01,566703045.092956579
2021-12-31,616180162.961416213
2021-12-30,495338791.016683355
2021-12-29,364937035.590289333
2021-12-28,313608038.556565787
2021-12-27,574037913.974587948
2021-12-26,213457919.358622121
2021-12-25,224001279.304140135
2021-12-24,305571816.376140792
2021-12-23,322393666.874199025
2021-12-22,355001054.097085456
2021-12-21,228272438.131994893
2021-12-20,214663869.567093648
2021-12-19,412561973.47575636
2021-12-18,544932348.875759694
2021-12-17,142345084.14282508
2021-12-16,195656660.065614741
2021-12-15,198949280.862783983
2021-12-14,212671388.124716039
2021-12-13,214862800.882234731
2021-12-12,141561880.039316125
2021-12-11,253839878.262125043
2021-12-10,262063588.481505504
2021-12-09,454985343.272578174
2021-12-08,342532599.335655154
2021-12-07,371082945.264303292
2021-12-06,1353143959.315500362
2021-12-05,252206534.87529873
2021-12-04,524695739.217297313
2021-12-03,272258312.046695614
2021-12-02,231421920.956951288
2021-12-01,215959260.122545955
2021-11-30,267504706.921630786
2021-11-29,1422710204.270391939
2021-11-28,184787566.899517308
2021-11-27,148874712.657978046
2021-11-26,797436344.834834075
2021-11-25,333888064.832913382
2021-11-24,272728236.592868144
2021-11-23,217249664.604610582
2021-11-22,288573593.692018258
2021-11-21,217135450.671975602
2021-11-20,200141168.64705934
2021-11-19,318308396.96470896
2021-11-18,469472631.127082041
2021-11-17,540378599.040005148
2021-11-16,376165328.730305619
2021-11-15,293692881.58498849
2021-11-14,260966801.571190336
2021-11-13,214815050.832830877
2021-11-12,392509570.691239978
2021-11-11,286600653.20956209
2021-11-10,465500121.736857644
2021-11-09,452544535.876390774
2021-11-08,294288577.010224006
2021-11-07,259757289.428843745
2021-11-06,190050609.444947949
2021-11-05,385263681.908628428
2021-11-04,356243170.984579359
2021-11-03,319772072.606916665
2021-11-02,321982713.548167234
2021-11-01,413755681.408698813
2021-10-31,815900424.42233321
2021-10-30,339725590.448544942
2021-10-29,262755166.483195898
2021-10-28,338677577.117281386
2021-10-27,505940281.160084834
2021-10-26,348295536.66937063
2021-10-25,559400694.035963164
2021-10-24,260200596.341038673
2021-10-23,319910678.544471903
2021-10-22,642049673.471649679
2021-10-21,291262484.264784523
2021-10-20,379539571.988278305
2021-10-19,269869136.016884021
2021-10-18,257256185.021511978
2021-10-17,197443835.058929959
2021-10-16,329641330.459030357
2021-10-15,373746225.738790733
2021-10-14,245126513.730386249
2021-10-13,269108054.545704388
2021-10-12,236290287.365810223
2021-10-11,197092828.150294131
2021-10-10,213726073.594894616
2021-10-09,246185323.929289965
2021-10-08,354093898.072031257
2021-10-07,869695837.756761409
2021-10-06,654077436.841603836
2021-10-05,410372952.608312832
2021-10-04,235030556.679290158
2021-10-03,617685954.368227592
2021-10-02,297009430.114179231
2021-10-01,848728444.067527028
2021-09-30,373951535.026890918
2021-09-29,419384014.781187419
2021-09-28,221986173.524818015
2021-09-27,315955425.009355834
2021-09-26,260176817.274052383
2021-09-25,176650531.926499238
2021-09-24,620525455.931961714
2021-09-23,572732206.427192085
2021-09-22,322597900.300852045
2021-09-21,1589141085.622326806
2021-09-20,372014199.680369129
2021-09-19,133006673.922572397
2021-09-18,151026782.990287086
2021-09-17,235232402.554856444
2021-09-16,246845685.541953032
2021-09-15,331237939.239085151
2021-09-14,173463511.013944958
2021-09-13,388166287.030043161
2021-09-12,208557178.82691234
2021-09-11,163893291.950086753
2021-09-10,362870532.941640791
2021-09-09,240291854.065715914
2021-09-08,330946133.258519984
2021-09-07,642183736.675976239
2021-09-06,236820214.418781518
2021-09-05,203153337.541214755
2021-09-04,159607475.683403589
2021-09-03,206123917.945984681
2021-09-02,542000996.083942851
2021-09-01,106007337.383174558
2021-08-31,65051247.587441399
2021-08-30,27716403.36025413
2021-08-29,178902915.336964741
2021-08-28,171545475.024114919
2021-08-27,251970244.569329739
2021-08-26,270195706.628853961
2021-08-25,341547087.24317053
2021-08-24,341598731.299650756
2021-08-23,551181323.205695109
2021-08-22,173776261.461845183
2021-08-21,347421175.839673386
2021-08-20,224828715.653604104
2021-08-19,220502970.528962255
2021-08-18,152999103.533210017
2021-08-17,204863921.938351805
2021-08-16,263749556.27306196
2021-08-15,137553547.316325184
2021-08-14,336972684.530924737
2021-08-13,298563589.7110649
2021-08-12,281009032.477932828
2021-08-11,439034897.323271587
2021-08-10,457922606.856316353
2021-08-09,265593000.999553855
2021-08-08,196512790.172004299
2021-08-07,341786898.228477199
2021-08-06,267766906.537124888
2021-08-05,228778768.688859587
2021-08-04,145055500.81812364
2021-08-03,173380228.512395205
2021-08-02,160038978.377893292
2021-08-01,253727201.657277409
2021-07-31,307522105.346736632
2021-07-30,159208424.103166933
2021-07-29,90959184.0506363
2021-07-28,214233946.273279755
2021-07-27,219697204.188519921
2021-07-26,564872914.632688344
2021-07-25,384554403.226191758
2021-07-24,196364965.117475523
2021-07-23,146726544.386948556
2021-07-22,138331845.051168314
2021-07-21,235495347.915830113
2021-07-20,269348792.934519912
2021-07-19,201797059.54983105
2021-07-18,82908629.282958715
2021-07-17,178240616.031776974
2021-07-16,196144000.089296505
2021-07-15,249310980.334996294
2021-07-14,52501823.273690574
2021-07-13,152846744.282533673
2021-07-12,145590113.214879709
2021-07-11,168422145.502779971
2021-07-10,109391903.033135958
2021-07-09,183524501.379297895
2021-07-08,150753771.294682336
2021-07-07,279175290.845393379
2021-07-06,214123718.644292832
2021-07-05,195725753.935858538
2021-07-04,222927074.761943402
2021-07-03,134167202.488963655
2021-07-02,220990993.826365758
2021-07-01,214826242.250371637
2021-06-30,275474791.015647965
2021-06-29,504856989.616020042
2021-06-28,503321576.715614607
2021-06-27,156955451.93449861
2021-06-26,147946667.775606525
2021-06-25,169851576.294572915
2021-06-24,171461780.623829828
2021-06-23,285591490.589341619
2021-06-22,297863120.993808042
2021-06-21,282598224.501085504
2021-06-20,126291303.067127055
2021-06-19,202176754.869460547
2021-06-18,203118603.532781068
2021-06-17,50953456.419244084
2021-06-16,197728655.561399973
2021-06-15,173549188.462828615
2021-06-14,167520656.780261497
2021-06-13,175757698.39444129
2021-06-12,164095172.104194359
2021-06-11,302621179.108789544
2021-06-10,172047339.159289469
2021-06-09,226506530.711386102
2021-06-08,761302595.937458617
2021-06-07,217491828.187822729
2021-06-06,265658669.264801357
2021-06-05,171312098.000537183
2021-06-04,418985068.740682559
2021-06-03,1076770800.888158762
2021-06-02,464092069.832013056
2021-06-01,224853204.877764114
2021-05-31,170511750.504297498
2021-05-30,241862578.077088107
2021-05-29,381751474.604110024
2021-05-28,482643897.175542037
2021-05-27,425126677.266998003
2021-05-26,379642177.321609818
2021-05-25,258542314.701696072
2021-05-24,314739171.165243945
2021-05-23,224662874.037621925
2021-05-22,60863845.09486699
2021-05-21,80125029.51322757
2021-05-20,206634394.509967562
2021-05-19,546854840.278943583
2021-05-18,242741126.447679337
2021-05-17,197413770.348350622
2021-05-16,121346967.801269357
2021-05-15,138290397.335999494
2021-05-14,15394019091.173380154
2021-05-13,131735788.081712697
2021-05-12,129134943.273922061
2021-05-11,134232249.334531545
2021-05-10,249494922.461209218
2021-05-09,257277455.928408193
2021-05-08,187615688.985570768
2021-05-07,372980138.278193921
2021-05-06,505404175.758412051
2021-05-05,481638136.823001088
2021-05-04,306203757.354619818
2021-05-03,238952501.029969782
2021-05-02,343652780.364826617
2021-05-01,363838505.703750461
2021-04-30,359029835.916378647
2021-04-29,689902831.687762561
2021-04-28,453788245.608625263
2021-04-27,581784529.608051094
2021-04-26,315109330.880272418
2021-04-25,238551682.360484418
2021-04-24,178867927.08337687
2021-04-23,491290891.632344166
2021-04-22,359370244.965795959
2021-04-21,331123147.470005126
2021-04-20,307700632.159957333
2021-04-19,424242458.120015415
2021-04-18,339431815.82025341
2021-04-17,429788377.204910656
2021-04-16,345153475.737870092
2021-04-15,321031753.7222551
2021-04-14,365535680.962715912
2021-04-13,354817097.64556765
2021-04-12,350818024.636683872
2021-04-11,161658854.128394247
2021-04-10,273016833.790773081
2021-04-09,313799853.446525783
2021-04-08,431154634.040595178
2021-04-07,532768973.784253903
2021-04-06,384407045.678880657
2021-04-05,402225724.39063091
2021-04-04,496981434.684705982
2021-04-03,273214546.08321298
2021-04-02,453747584.402818558
2021-04-01,263260449.456399543
2021-03-31,431692361.844497566
2021-03-30,325319757.084162563
2021-03-29,347602745.480793925
2021-03-28,267447294.907496874
2021-03-27,303638783.721377228
2021-03-26,244734939.406935313
2021-03-25,402853482.284732268
2021-03-24,446952771.601875097
2021-03-23,415334592.860526944
2021-03-22,337853268.428737394
2021-03-21,354960350.94160101
2021-03-20,333519983.933081678
2021-03-19,418791175.878015747
2021-03-18,686669922.13691563
2021-03-17,585467332.880450941
2021-03-16,238142985.810534131
2021-03-15,275626660.322886403
2021-03-14,341040536.327107042
2021-03-13,345774332.048339697
2021-03-12,589455230.337818174
2021-03-11,722066111.71705358
2021-03-10,410403206.00273464
2021-03-09,335552021.286288518
2021-03-08,283922337.276620489
2021-03-07,211505309.935398474
2021-03-06,190179896.741280665
2021-03-05,267464310.515529063
2021-03-04,316082779.249768622
2021-03-03,327012072.120599261
2021-03-02,266333048.04235837
2021-03-01,297953360.576758781
2021-02-28,241962182.033911946
2021-02-27,231646167.532779408
2021-02-26,277722989.232178722
2021-02-25,383540521.953308619
2021-02-24,406982973.385357034
2021-02-23,340182685.803581297
2021-02-22,421694664.673775219
2021-02-21,275076977.867895002
2021-02-20,250776638.481758279
2021-02-19,208255551.357417675
2021-02-18,257269565.009888714
2021-02-17,383593139.967961825
2021-02-16,381728929.376644933
2021-02-15,217294541.0011304
2021-02-14,226140640.553555388
2021-02-13,300068332.465171819
2021-02-12,240046640.565782581
2021-02-11,245832209.746856485
2021-02-10,425100130.590929447
2021-02-09,397445519.681153105
2021-02-08,200143018.570264652
2021-02-07,172644114.302969541
2021-02-06,100850459.35356892
2021-02-05,164678895.179321489
2021-02-04,186118244.908740541
2021-02-03,111105206.506567834
2021-02-02,222351478.384989417
2021-02-01,218946721.597617775
2021-01-31,259676434.059155509
2021-01-30,279209296.692543892
2021-01-29,284127937.267553336
2021-01-28,144088646.456533135
2021-01-27,184727248.67161829
2021-01-26,227140418.480509919
2021-01-25,293538208.743677484
2021-01-24,204740403.061718717
2021-01-23,170860295.736934779
2021-01-22,240800586.784390045
2021-01-21,239259264.482282027
2021-01-20,296221825.86871672
2021-01-19,257958532.092302463
2021-01-18,246891108.120449438
2021-01-17,227103271.757436461
2021-01-16,231992542.996018122
2021-01-15,302111948.827607594
2021-01-14,243066919.577734608
2021-01-13,446243500.947315458
2021-01-12,290319442.846831278
2021-01-11,404646689.011622831
2021-01-10,205728916.135784366
2021-01-09,272962382.442175743
2021-01-08,256266825.868537267
2021-01-07,224444447.777377343
2021-01-06,288527886.242999657
2021-01-05,282516548.285173029
2021-01-04,335000894.673012116
2021-01-03,250660205.087072203
2021-01-02,166845427.443466259
2021-01-01,181641284.373412854
2020-12-31,579582187.786004315
2020-12-30,248146778.122341284
2020-12-29,233602099.394032979
2020-12-28,349974366.861329766
2020-12-27,430305176.588547706
2020-12-26,227267481.991374914
2020-12-25,90674784.743245917
2020-12-24,329273458.701578313
2020-12-23,690043530.122212487
2020-12-22,400128230.401207303
2020-12-21,386564821.277594936
2020-12-20,325339437.584852189
2020-12-19,344893098.419005305
2020-12-18,405092291.21802925
2020-12-17,386149527.731851095
2020-12-16,378464423.96734926
2020-12-15,227557049.156946205
2020-12-14,239727262.391835243
2020-12-13,210442834.624948062
2020-12-12,239189503.148595939
2020-12-11,279756400.606373884
2020-12-10,392635572.516149341
2020-12-09,282662079.803724323
2020-12-08,332046256.867827219
2020-12-07,289988025.187319578
2020-12-06,310401854.848648168
2020-12-05,237628390.712635795
2020-12-04,260545824.302922141
2020-12-03,317112720.00113603
2020-12-02,273333389.76645085
2020-12-01,265433891.288022376
2020-11-30,270068422.0757884
2020-11-29,251117812.787904426
2020-11-28,206378230.124862556
2020-11-27,377614270.059629378
2020-11-26,499204833.853422678
2020-11-25,490867018.733780953
2020-11-24,329674078.884955805
2020-11-23,248201107.624131857
2020-11-22,186762583.408836739
2020-11-21,300229871.171919047
2020-11-20,160966141.164640696
2020-11-19,335650639.82414791
2020-11-18,232653534.857658762
2020-11-17,344630283.713116654
2020-11-16,316962744.95028184
2020-11-15,187498853.19514897
2020-11-14,307923236.137486633
2020-11-13,192712185.738665316
2020-11-12,161929118.813028799
2020-11-11,338420227.663190714
2020-11-10,211223878.936674616
2020-11-09,176307212.721414394
2020-11-08,140037702.421675696
